Code,Entity,suicide_rate,gdp_per_capita,alcohol_liters_per_year,avg_surface_temperature,sunshine_hours_year,latitude,unemployment_rate,gini_index,urban_population_pct,population_density,literacy_rate,homicide_rate,religiosity_share,one_person_households_pct,fruit_veg_consumption_kg_per_capita,meat_kg_per_capita,family_important_pct,friends_important_pct,drug_use_death_rate,overweight_prevalence_pct,median_age,life_expectancy,healthcare_expenditure_per_capita_ppp
ITA,Italy,7.135454545454545,49610.30677272728,8.115238095238094,13.299371590909091,2372.25,42.786434,9.43909090909091,0.3467126404761905,68.80477272727272,200.99663954545457,98.66666666666669,0.8668924519999999,89.99429,30.466666666666665,290.5556920454545,83.191978,98.95252325,91.5648375,0.8636363636363636,48.92798136363637,42.83959090909091,81.82660909090909,3107.9321272727275
JAM,Jamaica,1.4127272727272726,9876.167204545454,3.233809523809524,25.82546181818181,,18.155226,7.135272727272727,0.4224525,53.98959090909091,253.3582068181818,,47.93265154545455,77.2035275,23.30160762,216.7284431818182,61.88689299999999,,,0.154090909090909,52.48554636363636,26.00140909090909,71.63298181818182,464.68976772727274
JOR,Jordan,1.1836363636363636,9716.586136363636,0.4314285714285714,19.66282086363637,,31.245577,14.682090909090908,0.3426001325,85.46495454545455,88.8373535,93.6330642857143,1.5600546133333333,99.9387225,4.69390690375,155.45328163636364,36.39177527272727,99.706759,90.73358,0.0977272727272727,69.16952454545455,20.873954545454545,74.05469090909091,688.8302145454545
JPN,Japan,21.73409090909091,41812.46631818182,6.972857142857143,12.14080981818182,1837.12,37.551178,4.007545454545454,0.3230356861538462,88.42504545454545,349.68496863636364,,0.3854482040909091,45.181945,30.9940004325,162.1971334090909,47.67477045454545,97.72799183333336,91.91489166666668,0.2268181818181818,21.805898181818183,44.3685,83.0386409090909,3440.1301136363636
KAZ,Kazakhstan,27.07681818181818,25688.94845454545,5.250952380952381,7.25418695909091,2431.5,48.160652,6.710727272727272,0.2983187657142857,56.88090909090909,6.377067795454545,99.86054333333334,8.7393171125,97.30046,,220.6886005909091,57.95060345454545,99.4519775,85.72064,2.8181818181818183,48.044363636363634,27.828954545454543,68.58968636363636,597.9579722727273
KEN,Kenya,5.236363636363636,4335.07835,2.491904761904762,25.413337454545456,3030.125,0.55076605,3.2474090909090907,0.4054151775,23.92654545454545,73.80877768181819,77.63002333333334,4.134787482352941,97.996055,17.44079068,106.59048863636365,14.953462977272729,99.210111,89.96841,0.2209090909090909,24.92130818181818,17.100363636363635,60.25647727272727,143.52323409090909
KGZ,Kyrgyzstan,10.57409090909091,4936.147927272727,6.052857142857143,0.5829262102409091,,41.461918,2.981227272727273,0.2997332154545454,35.67918181818182,29.691879136363635,99.3,,98.61646,8.548256687,181.82878181818185,34.799302000000004,99.54437466666668,91.18237333333332,1.5481818181818183,49.17508136363636,23.116636363636363,67.67200454545456,219.22075163636364
KHM,Cambodia,4.517272727272727,4034.328372727272,4.8619047619047615,27.557776045454546,,12.715563,0.6454545454545454,,20.933318181818183,82.98378118181819,76.32120833333333,3.06314855,99.913835,2.75524994525,58.3118864090909,14.191084409090909,,,0.1209090909090909,15.236016818181817,21.363227272727272,66.55295909090908,180.84309613636364
KIR,Kiribati,19.653181818181817,2446.3443727272725,0.9128571428571428,26.44855136363636,,0.61518735,,0.324028525,48.41936363636364,134.08507236363636,97.95971,5.173591708571428,99.927025,,119.9541774090909,31.49369022727273,,,4.398181818181818,76.05232,20.43159090909091,65.52908636363637,203.13436772727272
KOR,South Korea,27.180000000000003,37422.53281818182,9.30095238095238,12.55102418181818,2196.65,36.373352,3.390590909090909,0.3285574727272727,81.32718181818183,505.8915586363637,98.4,0.7786494136363636,55.19845,21.9231117,277.3534138181818,61.9501995,99.35124583333334,95.12751666666668,0.0777272727272727,30.94817045454545,36.97895454545455,80.63567272727272,2078.571127272727
